CustomerID,Recency,Frequency,Monetary,AvgOrderValue,UniqueProducts,TotalQuantity,CLV,Churn
12346.0,67,15,-51.739999999999995,-1.1497777777777776,29,53,-51.739999999999995,0
12347.0,3,2,1323.32,18.63830985915493,70,828,1323.32,0
12348.0,74,1,222.16,11.108,20,373,222.16,0
12349.0,43,4,2646.99,24.73822429906542,92,988,2646.99,0
12351.0,11,1,300.93,14.33,21,261,300.93,0
12352.0,11,2,343.8,19.1,18,188,343.8,0
12353.0,44,1,317.76,15.888,20,192,317.76,0
12355.0,203,1,488.21000000000004,22.191363636363636,22,303,488.21000000000004,1
12356.0,16,3,3560.3,42.89518072289157,68,1825,3560.3,0
12357.0,24,2,12079.99,73.2120606060606,165,3879,12079.99,0
12358.0,11,3,2719.01,46.879482758620696,52,831,2719.01,0
12359.0,61,8,2469.36,20.40793388429752,110,914,2469.36,0
12360.0,15,6,1550.83,17.42505617977528,74,1293,1550.83,0
12361.0,98,3,321.35,16.913157894736845,14,144,321.35,1
12362.0,374,1,130.0,130.0,1,1,130.0,1
12366.0,269,1,500.24,166.74666666666667,3,296,500.24,1
12368.0,264,1,917.6999999999999,50.98333333333333,18,330,917.6999999999999,1
12369.0,49,3,1791.15,19.25967741935484,90,1241,1791.15,0
12370.0,260,3,774.62,22.132,33,252,774.62,1
12371.0,45,3,2179.42,20.95596153846154,91,845,2179.42,0
12373.0,260,2,763.0500000000001,20.622972972972974,31,319,763.0500000000001,1
12374.0,57,3,2246.29,44.9258,47,1020,2246.29,0
12376.0,25,2,503.15,38.70384615384615,11,240,503.15,0
12377.0,17,2,1798.2,23.976,75,1161,1798.2,0
12378.0,198,1,1407.7,17.167073170731708,82,787,1407.7,1
12379.0,58,2,767.98,18.73121951219512,37,408,767.98,0
12380.0,17,10,5167.44,29.030561797752807,119,2199,5167.44,0
12382.0,318,1,-18.38,-18.38,1,-1,-18.38,1
12385.0,15,2,1923.4,29.142424242424244,65,611,1923.4,0
12386.0,2,1,258.9,32.3625,8,214,258.9,0
12387.0,51,1,143.94,15.993333333333332,9,134,143.94,0
12388.0,81,2,1120.45,24.357608695652175,36,539,1120.45,0
12389.0,38,3,1433.33,29.251632653061222,41,614,1433.33,0
12391.0,100,6,2259.58,12.553222222222221,159,903,2259.58,1
12392.0,227,1,234.75000000000003,33.53571428571429,7,73,234.75000000000003,1
